pruebaadmin;Apellido 1;DNI1;612345678;1;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;jLhG5-tBubzu9lRsdfZKu5qLxagazdPF;NULL;pruebaadmin@1.com
pruebatrabajdor;Apellido 2;DNI2;634567890;1;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;pruebatrabajador@1.com
pruebacliente;Apellido 3;DNI3;656789012;1;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;INwhox5vPTuOCUyfCkwfKll6W_sLruPt;NULL;preubacliente@1.com
Antonio;Garcia Gonzalez;17987172E;677890123;1;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;antonio.garcia@1.com
Lorena;Barrera Rodríguez;76265457X;633543210;1;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;YuGKs8wefCiFtSdudxzt8wGzbM3T_iK8;NULL;lorena.barrera@1.com
Jose;Rodriguez Fernandez;33541805P;699012345;1;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;jose.rodriguez@1.com
Manuel;Lopez Martinez;58709775K;611223344;1;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;m2tE5fEIPbqHBAtK01IfkyH_7d3pEY1B;NULL;manuel.lopez@1.com
Francisco;Sanchez Perez;62591068H;633445566;1;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;francisco.sanchez@1.com
Juan;Gomez Martin;14333594V;655667788;1;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;pxZO6feoOk4mdJdIzsLjNALVq1V2arag;NULL;juan.gomez@1.com
David;Jimenez Ruiz;32929978G;677889900;1;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;david.jimenez@1.com
Jose Antonio;Hernandez Diaz;23122636T;699001122;2;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;8vNuVi5AWlGqn42pECjprXHKmj8tKLeC;NULL;joseantonio.hernandez@1.com
Jose Luis;Moreno Alvarez;70058129Z;611122233;2;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;joseluis.moreno@1.com
Javier;Muñoz Romero;37955306Q;633334444;2;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;RKGozHpWGhZgtQ2f-zPVqKKgOH11KkaS;NULL;javier.munoz@1.com
Jesus;Alonso Gutierrez;76483453N;655555555;2;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;jesus.alonso@1.com
Carlos;Navarro Torres;36753582L;677777777;2;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;TGELSP_-kop3yazy-LTFBkOVdEulVc9D;NULL;carlos.navarro@1.com
Daniel;Dominguez Vazquez;16441139A;699999999;2;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;daniel.dominguez@1.com
Miguel;Ramos Gil;94634491W;611112222;2;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;6iuZPUcuCBRrCh080efP8EPSUbF3X9nQ;NULL;miguel.ramos@1.com
Rafael;Ramirez Serrano;24083136C;633221133;2;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;rafael.ramirez@1.com
Jose Manuel;Blanco Suarez;95857467E;655443322;2;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;ua2yA3ucWMnXL3yiK3ExJ0HpBTAJXcLA;NULL;josemanuel.blanco@1.com
Pedro;Molina Morales;45340260S;677788899;2;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;pedro.molina@1.com
Alejandro;Ortega Delgado;90744214Z;699998877;3;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;JUNWlpNPichMCA4QO2SQDiuxymWGMMeQ;NULL;alejandro.ortega@1.com
Angel;Castro Ortiz;26134394T;611334455;3;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;angel.castro@1.com
Fernando;Rubio Marin;62349286N;633556677;3;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;uXdq2NGEgxVHtiMSA5Bmh_eIaFcC_qRU;NULL;fernando.rubio@1.com
Luis;Sanz Nuñez;25134082G;655778899;3;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;luis.sanz@1.com
Pablo;Iglesias Medina;78821731H;677123456;3;1;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;9ZaWIBpYFJoUunZ_h0Ou8O2rVEZAVEBW;NULL;pablo.iglesias@1.com
Sergio;Garrido Santos;70365312D;699876543;3;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;sergio.garrido@1.com
Jorge;Castillo Cortes;61010001V;611234567;3;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;8sI9wW9cjQHIxV7Hx6eYBLSLQ-2r3dzW;NULL;jorge.castillo@1.com
Alberto;Lozano Guerrero;59909030X;633765432;3;2;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;;NULL;alberto.lozano@1.com
Juan Carlos;Cano Prieto;74989744S;655234567;3;3;$2y$13$VlqY5H/MAJ1BSorFtTG29u42aO6pX0gBZ7e/i9OgfbYP2UWDgJLYW;s4t9MJ-_fWpNvORAViEcm1ZHdL_C4sqS;NULL;juancarlos.cano@1.com
